"","X","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup","Period","Region"
"2",2,0,1,"USA",89418.8649899478,22686.7983160222,"0-07-07",1990,"Spring",1,"Before Warming","USA"
"3",3,0,1,"Canada",1357352.28345054,236093.747891127,"0-05-29",1990,"Spring",1,"Before Warming","Canada"
"14",14,4,1,"USA",80265.1291211422,23519.9942843584,"3-06-04",1991,"Spring",2,"Before Warming","USA"
"15",15,4,1,"Canada",1173461.45649458,206701.472733525,"3-06-19",1991,"Spring",2,"Before Warming","Canada"
"20",20,6,1,"USA",85720.352682466,22291.2196950919,"6-07-27",1992,"Spring",3,"Before Warming","USA"
"21",21,6,1,"Canada",1169725.35693653,210840.428135226,"6-07-21",1992,"Spring",3,"Before Warming","Canada"
"29",29,9,1,"USA",59335.0356775994,16374.6401391755,"9-05-02",1993,"Spring",4,"Before Warming","USA"
"30",30,9,1,"Canada",1052359.83077527,183355.593866243,"9-05-07",1993,"Spring",4,"Before Warming","Canada"
"38",38,12,1,"USA",53300.7590392825,14724.6177322362,"12-05-20",1994,"Spring",5,"Before Warming","USA"
"39",39,12,1,"Canada",892336.026108805,159376.141813749,"12-05-15",1994,"Spring",5,"Before Warming","Canada"
"47",47,15,1,"USA",60874.4446140952,16360.5099880053,"15-05-04",1995,"Spring",6,"Before Warming","USA"
"48",48,15,1,"Canada",1129480.09121481,195677.600009797,"15-05-31",1995,"Spring",6,"Before Warming","Canada"
"56",56,18,1,"USA",59933.9481011589,16701.0037994097,"18-07-14",1996,"Spring",7,"Before Warming","USA"
"57",57,18,1,"Canada",1021220.83064557,180947.070829083,"18-06-02",1996,"Spring",7,"Before Warming","Canada"
"65",65,21,1,"USA",63182.8973625125,17017.8983081226,"21-05-04",1997,"Spring",8,"Before Warming","USA"
"66",66,21,1,"Canada",1233244.14506704,222224.238863115,"21-05-04",1997,"Spring",8,"Before Warming","Canada"
"74",74,24,1,"USA",61560.1687030921,16489.5562322983,"24-05-16",1998,"Spring",9,"Before Warming","USA"
"75",75,24,1,"Canada",932337.437942265,172677.496367575,"24-07-07",1998,"Spring",9,"Before Warming","Canada"
"83",83,27,1,"USA",59064.1853702411,16481.7408275111,"27-07-02",1999,"Spring",10,"Before Warming","USA"
"84",84,27,1,"Canada",928563.619464006,158100.948262968,"27-05-28",1999,"Spring",10,"Before Warming","Canada"
"95",95,31,1,"USA",43131.0872700402,14586.6283292472,"30-06-30",2000,"Spring",11,"Before Warming","USA"
"96",96,31,1,"Canada",698308.765697444,129383.5907994,"30-05-12",2000,"Spring",11,"Before Warming","Canada"
"101",101,33,1,"USA",63748.2145784919,18679.5821195173,"33-05-11",2001,"Spring",12,"Before Warming","USA"
"102",102,33,1,"Canada",937570.247166758,166705.097714217,"33-06-12",2001,"Spring",12,"Before Warming","Canada"
"110",110,36,1,"USA",61352.7518851014,16324.9357566815,"36-07-09",2002,"Spring",13,"Before Warming","USA"
"111",111,36,1,"Canada",939306.281160301,162786.512886671,"36-05-23",2002,"Spring",13,"Before Warming","Canada"
"119",119,39,1,"USA",85515.1637396934,24353.8656430985,"39-06-08",2003,"Spring",14,"Before Warming","USA"
"120",120,39,1,"Canada",1042468.12175024,181798.779341034,"39-07-22",2003,"Spring",14,"Before Warming","Canada"
"131",131,43,1,"USA",78925.9042638211,26418.7482685262,"42-06-18",2004,"Spring",15,"Before Warming","USA"
"132",132,43,1,"Canada",980767.800261636,174749.675103899,"42-05-23",2004,"Spring",15,"Before Warming","Canada"
"137",137,45,1,"USA",92563.4243614663,25201.7103285645,"45-06-26",2005,"Spring",16,"Before Warming","USA"
"138",138,45,1,"Canada",1384654.47192683,218085.307062014,"45-06-27",2005,"Spring",16,"Before Warming","Canada"
"146",146,48,1,"USA",135794.709411356,31649.018154656,"48-06-19",2006,"Spring",17,"During Warming","USA"
"147",147,48,1,"Canada",1593131.23621613,242918.683080047,"48-06-28",2006,"Spring",17,"During Warming","Canada"
"158",158,52,1,"USA",116696.300438693,34824.8157436143,"51-06-03",2007,"Spring",18,"During Warming","USA"
"159",159,52,1,"Canada",1540143.23169804,259051.657208942,"51-06-16",2007,"Spring",18,"During Warming","Canada"
"164",164,54,1,"USA",156359.062509182,38239.7789533972,"54-06-19",2008,"Spring",19,"During Warming","USA"
"165",165,54,1,"Canada",1854763.51757941,311832.636631141,"54-05-17",2008,"Spring",19,"During Warming","Canada"
"173",173,57,1,"USA",154715.48809995,32458.550733721,"57-07-21",2009,"Spring",20,"During Warming","USA"
"174",174,57,1,"Canada",2146147.76960404,349421.248916517,"57-05-04",2009,"Spring",20,"During Warming","Canada"
"182",182,60,1,"USA",297832.440426886,59175.4048840525,"60-07-04",2010,"Spring",21,"During Warming","USA"
"183",183,60,1,"Canada",2375444.35227644,385758.008489928,"60-07-27",2010,"Spring",21,"During Warming","Canada"
"191",191,63,1,"USA",192384.625141278,41434.6265410219,"63-06-30",2011,"Spring",22,"During Warming","USA"
"192",192,63,1,"Canada",2389208.18995925,417019.620081575,"63-05-07",2011,"Spring",22,"During Warming","Canada"
"200",200,66,1,"USA",281377.589981218,51261.7999865716,"66-07-23",2012,"Spring",23,"During Warming","USA"
"201",201,66,1,"Canada",2694277.93814934,432038.605386699,"66-06-05",2012,"Spring",23,"During Warming","Canada"
"209",209,69,1,"USA",213577.742395168,44224.943652257,"69-06-26",2013,"Spring",24,"During Warming","USA"
"210",210,69,1,"Canada",2694441.75289031,450019.777962905,"69-07-20",2013,"Spring",24,"During Warming","Canada"
"221",221,73,1,"USA",193674.798974614,52648.8341583654,"72-07-05",2014,"Spring",25,"During Warming","USA"
"222",222,73,1,"Canada",2792779.54022683,492744.338486102,"72-07-02",2014,"Spring",25,"During Warming","Canada"
"227",227,75,1,"USA",152960.248345508,32203.1787867214,"75-07-15",2015,"Spring",26,"During Warming","USA"
"228",228,75,1,"Canada",2905612.77084563,475834.014205648,"75-07-13",2015,"Spring",26,"During Warming","Canada"
"239",239,79,1,"USA",175943.93666814,48505.322446955,"78-07-22",2016,"Spring",27,"During Warming","USA"
"240",240,79,1,"Canada",2932265.53436766,466576.520998785,"78-06-02",2016,"Spring",27,"During Warming","Canada"
"245",245,81,1,"USA",146866.130060893,32926.4293403428,"81-05-26",2017,"Spring",28,"During Warming","USA"
"246",246,81,1,"Canada",3062436.73267536,525675.89964772,"81-06-07",2017,"Spring",28,"During Warming","Canada"
"257",257,85,1,"USA",161904.957941849,47773.1811873821,"84-07-20",2018,"Spring",29,"During Warming","USA"
"258",258,85,1,"Canada",3605228.7718402,693223.689499751,"84-06-18",2018,"Spring",29,"During Warming","Canada"
"263",263,87,1,"USA",133042.050772698,31569.6333877531,"87-05-23",2019,"Spring",30,"During Warming","USA"
"264",264,87,1,"Canada",3073306.36668449,540933.516083673,"87-06-06",2019,"Spring",30,"During Warming","Canada"
"275",275,91,1,"USA",146647.607502621,49701.9231744137,"90-07-30",2020,"Spring",31,"During Warming","USA"
"276",276,91,1,"Canada",2681296.52515104,590855.971945745,"90-06-18",2020,"Spring",31,"During Warming","Canada"
"284",284,94,1,"USA",145822.76390224,54228.0724899503,"93-05-14",2021,"Spring",32,"During Warming","USA"
"285",285,94,1,"Canada",3658486.3105657,975220.309174461,"93-05-22",2021,"Spring",32,"During Warming","Canada"
"293",293,97,1,"USA",147069.830185427,57726.6412884657,"96-06-24",2022,"Spring",33,"During Warming","USA"
"294",294,97,1,"Canada",3503256.54336908,996810.142080297,"96-06-21",2022,"Spring",33,"During Warming","Canada"
"299",299,99,1,"USA",171357.356148793,67719.7070927072,"99-05-28",2023,"Spring",34,"During Warming","USA"
"300",300,99,1,"Canada",3141991.31457124,886329.467375992,"99-07-18",2023,"Spring",34,"During Warming","Canada"
