"","Index_Region","Season","Before","After","Difference","PercentChange","BeforeSD","AfterSD","DifferenceSD","PercentChangeSD"
"1","BOF","Fall",4.91,5.38,0.47,9.47,1.92,1.88,-0.04,-1.85
"2","BOF","Spring",5.54,4.97,-0.57,-10.31,2.06,1.65,-0.41,-20
"3","BOF","Summer",5.43,5.53,0.1,1.88,1.96,1.75,-0.21,-10.54
"4","Browns","Fall",18.76,14.04,-4.71,-25.12,6.29,4.6,-1.69,-26.84
"5","Browns","Spring",19.42,16.42,-3,-15.43,6.16,4.72,-1.45,-23.46
"6","Browns","Summer",20.17,17.67,-2.5,-12.41,5.43,4.6,-0.83,-15.3
"7","CapeBreton","Fall",2.16,4.07,1.9,88.05,0.96,1.5,0.54,55.84
"8","CapeBreton","Spring",2.08,4.01,1.92,92.46,0.88,1.46,0.58,65.8
"9","CapeBreton","Summer",1.86,3.77,1.91,102.54,0.79,1.3,0.51,65.08
"10","CapeCod","Fall",0.73,0.99,0.26,35.23,0.34,0.38,0.04,11.52
"11","CapeCod","Spring",0.75,1.04,0.29,38.52,0.33,0.38,0.05,15.72
"12","CapeCod","Summer",0.74,1.07,0.32,43.42,0.34,0.44,0.11,31.69
"13","EGOM","Fall",4.24,4.23,-0.01,-0.25,1.6,1.44,-0.16,-10.07
"14","EGOM","Spring",3.91,4.21,0.3,7.63,1.49,1.37,-0.12,-8.12
"15","EGOM","Summer",4.13,4.2,0.07,1.66,1.68,1.59,-0.09,-5.49
"16","GBTail","Fall",1.1,2.2,1.1,100,0.6,1.06,0.46,75.93
"17","GBTail","Spring",1.08,2.32,1.24,114.26,0.58,1.09,0.52,90.34
"18","GBTail","Summer",0.82,1.86,1.03,124.92,0.47,0.93,0.46,99.11
"19","Georges","Fall",1.02,0.58,-0.44,-42.74,0.38,0.24,-0.14,-37.34
"20","Georges","Spring",1.16,0.71,-0.45,-38.98,0.4,0.25,-0.15,-37.5
"21","Georges","Summer",1.21,0.73,-0.47,-39.21,0.46,0.26,-0.21,-44.74
"22","GrandBanks","Fall",3.54,5.81,2.27,64.11,1.81,2.6,0.79,43.45
"23","GrandBanks","Spring",3.62,5.49,1.86,51.42,1.83,2.46,0.63,34.4
"24","GrandBanks","Summer",2.91,4.12,1.21,41.65,1.56,1.89,0.33,21.24
"25","Gully","Fall",20.53,16.96,-3.58,-17.42,6.56,5.36,-1.2,-18.23
"26","Gully","Spring",18.72,15.86,-2.86,-15.3,4.61,4.4,-0.21,-4.61
"27","Gully","Summer",18.37,13.56,-4.81,-26.2,4.77,3.6,-1.17,-24.51
"28","HaliChan","Fall",3.09,4.27,1.18,38.19,1.66,2.08,0.42,25.31
"29","HaliChan","Spring",2.96,4.08,1.13,38.13,1.56,1.96,0.4,25.51
"30","HaliChan","Summer",3.64,5.29,1.66,45.55,1.99,2.56,0.57,28.86
"31","Nantucket","Fall",0.51,0.36,-0.15,-29.54,0.26,0.17,-0.09,-34.96
"32","Nantucket","Spring",0.68,0.44,-0.24,-34.98,0.31,0.21,-0.1,-32.88
"33","Nantucket","Summer",0.71,0.48,-0.22,-31.56,0.34,0.23,-0.11,-32.51
"34","Sable","Fall",18.19,13.64,-4.55,-25.01,5.3,4.13,-1.17,-22.01
"35","Sable","Spring",18.21,13.43,-4.78,-26.25,4.8,3.78,-1.02,-21.3
"36","Sable","Summer",18.01,14.51,-3.51,-19.47,4.64,3.81,-0.83,-17.82
