"Period","Region","estimate","std.error","statistic","p.value","conf.low","conf.high","Indicator","Theme"
"1990-2005","Canada",-0.0044362867250294,0.004048067458943,-1.095902370705,0.291616050402225,-0.0131185279227636,0.0042459544727048,"Abundance","Population Size"
"2006-2023","Canada",0.0185032040793237,0.00240433435368327,7.69576995436516,9.13651425962885e-07,0.0134062429418508,0.0236001652167965,"Abundance","Population Size"
"1990-2005","USA",2.20421483659494e-05,0.00521671763395568,0.00422529067367511,0.996688333733577,-0.0111667043875683,0.0112107886843002,"Abundance","Population Size"
"2006-2023","USA",-0.00295818319823371,0.00492995458140404,-0.600042687896574,0.556881454771396,-0.0134092200402722,0.00749285364380482,"Abundance","Population Size"
"1990-2005","Canada",0.00347475898099141,0.00434328365670867,0.800030404559064,0.437058563879341,-0.00584065798776831,0.0127901759497511,"COG North","Centroid Position"
"2006-2023","Canada",0.0325332739602468,0.00292166175110637,11.1351952182443,6.03264182611753e-09,0.0263396277315443,0.0387269201889492,"COG North","Centroid Position"
"1990-2005","USA",0.047935361171688,0.00422475704071028,11.3463000853722,1.91311938693928e-08,0.0388741585110856,0.0569965638322904,"COG North","Centroid Position"
"2006-2023","USA",-0.0245117530334834,0.00520027949497692,-4.71354531177795,0.000234259011493068,-0.0355358530923166,-0.0134876529746502,"COG North","Centroid Position"
"1990-2005","Canada",-0.0333303245868528,0.0198543189146195,-1.6787442938831,0.115373115390656,-0.0759136034926034,0.00925295431889781,"COG East","Centroid Position"
"2006-2023","Canada",0.163024848645313,0.0155416891846873,10.4895192992236,1.40701891142626e-08,0.130077939383844,0.195971757906781,"COG East","Centroid Position"
"1990-2005","USA",0.0130710350848431,0.00295500455391849,4.4233553100655,0.000578246676491859,0.00673318065486224,0.019408889514824,"COG East","Centroid Position"
"2006-2023","USA",-0.0160417555779406,0.00455080875548403,-3.52503399722284,0.002810914747689,-0.0256890391744337,-0.00639447198144751,"COG East","Centroid Position"
"1990-2005","Canada",-4.31523975312486,2.35154369049308,-1.83506679912888,0.0878285387200361,-9.35879935655153,0.728319850301814,"Deepening","Centroid Position"
"2006-2023","Canada",-1.63442192429144,1.008765334988,-1.62022015190568,0.124723872809969,-3.7729089036032,0.504065055020326,"Deepening","Centroid Position"
"1990-2005","USA",0.333963634299362,0.152145071466951,2.19503419387401,0.0455219186136921,0.0076449103847428,0.660282358213982,"Deepening","Centroid Position"
"2006-2023","USA",-0.148570185978787,0.152004476733568,-0.977406647300259,0.342915749715179,-0.470805281711632,0.173664909754058,"Deepening","Centroid Position"
"1990-2005","Canada",-6.35234990993727,2.45513082268947,-2.58737736141433,0.0214988325365574,-11.6180818155383,-1.08661800433621,"Distance to Border","Transboundary"
"2006-2023","Canada",17.2974584382249,2.17930424086557,7.93714714718067,6.14204972883682e-07,12.6775398293986,21.9173770470512,"Distance to Border","Transboundary"
"1990-2005","USA",0.137474702031992,0.200826327775394,0.684545216530297,0.50480631700195,-0.293254932364092,0.568204336428075,"Distance to Border","Transboundary"
"2006-2023","USA",0.531774284190356,0.293091473907591,1.81436285778146,0.0884166618112593,-0.0895518845029144,1.15310045288363,"Distance to Border","Transboundary"
"1990-2005","Canada",0.00306809079307336,0.00210943677263624,1.45445970833203,0.167870379989441,-0.00145620111588114,0.00759238270202786,"AO vs Abd","Population Size"
"2006-2023","Canada",0.0118110994241287,0.00211832052839914,5.57569039518994,4.18020318569199e-05,0.00732046051052623,0.0163017383377312,"AO vs Abd","Population Size"
"1990-2005","USA",-0.015344097421789,0.00133827000039612,-11.4656215989653,1.67468603476799e-08,-0.0182144011034783,-0.0124737937400997,"AO vs Abd","Population Size"
"2006-2023","USA",0.0103495381319919,0.00249874979650843,4.14188653319897,0.000766244472727109,0.00505242519694567,0.0156466510670382,"AO vs Abd","Population Size"
"Before Warming",NA,2.68382352941176,2.61347303175134,1.026918394338,0.321875732183637,-2.9215186383207,8.28916569714422,"Leading Edge N","Range Edges"
"During Warming",NA,3.43137254901961,2.1590409459704,1.58930406365098,0.131554206475723,-1.14558979357871,8.00833489161793,"Leading Edge N","Range Edges"
"Before Warming",NA,-3.16176470588235,6.50540907680291,-0.48602088947129,0.63447141989381,-17.1144794932689,10.7909500815042,"Leading Edge E","Range Edges"
"During Warming",NA,14.6800825593396,5.20045064328845,2.82284816572297,0.0122497380705193,3.65561968229387,25.7045454363854,"Leading Edge E","Range Edges"
"Before Warming",NA,0.29411764705879,1.8100784742781,0.162488892740461,0.873242853720414,-3.58811456865944,4.17634986277702,"Trailing Edge E","Range Edges"
"During Warming",NA,3.81836945304438,1.77645833526445,2.1494280936659,0.0472441496577771,0.052446014271498,7.58429289181725,"Trailing Edge E","Range Edges"
"Before Warming",NA,1.10294117647059,0.419182141580565,2.63117405792109,0.0197411941481687,0.203884899395716,2.00199745354546,"Trailing Edge N","Range Edges"
"During Warming",NA,0.670794633642931,0.471920000264833,1.421415988444,0.174394242177252,-0.329631075726985,1.67122034301285,"Trailing Edge N","Range Edges"
